k,tau,f(u),f(v),"q(u,v)",||x-y||,currentMin
0.0,1.0,737.830022758616,737.830022758616,737.830022758616,0.0,100000000000.0
0.0,1.0,537.7688461811185,537.7688461811185,537.7688461811185,0.0,737.830022758616
0.0,1.0,498.0524441460476,498.0524441460476,498.0524441460476,0.0,537.7688461811185
0.0,1.0,424.74811937386426,424.74811937386426,424.74811937386426,0.0,498.0524441460476
0.0,1.0,404.28513272606335,404.28513272606335,404.28513272606335,0.0,424.74811937386426
0.0,1.0,385.19296239728624,397.14577769613163,385.19931005353624,0.0,404.28513272606335
0.0,1.0,371.4205701414852,412.5043529591254,371.4300916258602,0.0,397.14577769613163
0.0,1.0,365.5702343119366,399.3000418469562,365.5848827494366,0.0,397.14577769613163
0.0,1.0,361.5154285795004,428.95623667298764,361.5361805326254,0.0,397.14577769613163
0.0,1.0,358.9308885196955,417.5330698989361,358.9550584415705,0.0,397.14577769613163
0.0,1.0,357.1082666102229,431.7845940798445,357.1336572352229,0.0,397.14577769613163
0.0,1.0,354.8161147931637,420.1922432456256,354.8411392072262,0.0,397.14577769613163
0.0,1.0,352.4151528805378,405.7003713241638,352.4418862789753,0.0,397.14577769613163
0.0,1.0,351.20169927691234,407.96761107323766,351.23026373003734,0.0,397.14577769613163
0.0,1.0,349.3078745542872,388.297203983483,349.3359507261622,0.0,397.14577769613163
0.0,1.0,347.93276414997524,386.8236497287048,347.96218309528774,0.0,388.297203983483
0.0,1.0,346.5547578031204,374.85230346977653,346.5852753812454,0.0,386.8236497287048
0.0,1.0,345.07887486641255,410.49371551720685,345.10780553047505,0.0,374.85230346977653
0.0,1.0,343.5982480604067,381.63397195061566,343.6303525525942,0.0,374.85230346977653
0.0,1.0,342.40414047609784,394.1632543665612,342.43526840578534,0.0,374.85230346977653
0.0,1.0,341.9200504579486,379.0781494127144,341.9511783876361,0.0,374.85230346977653
0.0,1.0,341.6047423357152,377.0297684710349,341.6361144060277,0.0,374.85230346977653
0.0,1.0,340.62496794997514,380.24128799508105,340.65597380935014,0.0,374.85230346977653
0.0,1.0,340.355515678851,380.2284405396148,340.387009819476,0.0,374.85230346977653
0.0,1.0,339.1956890266358,392.82499150685885,339.2302349250733,0.0,374.85230346977653
0.0,1.0,338.5525527942609,394.9165579846067,338.5879531848859,0.0,374.85230346977653
0.0,1.0,338.3654546544509,384.48048639644185,338.4008550450759,0.0,374.85230346977653
0.0,1.0,338.2844586262779,384.91404754580776,338.3198590169029,0.0,374.85230346977653
0.0,1.0,338.2844586262779,384.91404754580776,338.3198590169029,0.0,374.85230346977653
1.0,1.1,737.830022758616,737.830022758616,737.830022758616,0.26608416196760004,374.85230346977653
1.0,1.1,537.7688461811185,537.7688461811185,537.7688461811185,0.26608416196760004,374.85230346977653
1.0,1.1,498.0524441460476,498.0524441460476,498.0524441460476,0.26608416196760004,374.85230346977653
1.0,1.1,424.74811937386426,424.74811937386426,424.74811937386426,0.26608416196760004,374.85230346977653
1.0,1.1,404.28513272606335,404.28513272606335,404.28513272606335,0.26608416196760004,374.85230346977653
1.0,1.1,385.19296239728624,397.14577769613163,385.19994481916126,0.26608416196760004,374.85230346977653
1.0,1.1,371.4205701414852,412.5043529591254,371.4310437742977,0.26608416196760004,374.85230346977653
1.0,1.1,365.5702343119366,399.3000418469562,365.5863475931866,0.26608416196760004,374.85230346977653
1.0,1.1,361.5154285795004,428.95623667298764,361.5382557279379,0.26608416196760004,374.85230346977653
1.0,1.1,358.9308885196955,417.5330698989361,358.95747543375796,0.26608416196760004,374.85230346977653
1.0,1.1,357.1082666102229,431.7845940798445,357.1361962977229,0.26608416196760004,374.85230346977653
1.0,1.1,354.8161147931637,420.1922432456256,354.84364164863246,0.26608416196760004,374.85230346977653
1.0,1.1,352.4151528805378,405.7003713241638,352.444559618819,0.26608416196760004,374.85230346977653
1.0,1.1,351.20169927691234,407.96761107323766,351.2331201753498,0.26608416196760004,374.85230346977653
1.0,1.1,349.3078745542872,388.297203983483,349.3387583433497,0.26608416196760004,374.85230346977653
1.0,1.1,347.93276414997524,386.8236497287048,347.965124989819,0.26608416196760004,374.85230346977653
1.0,1.1,346.5547578031204,374.85230346977653,346.5883271390579,0.26608416196760004,374.85230346977653
1.0,1.1,345.07887486641255,410.49371551720685,345.1106985968813,0.26608416196760004,374.85230346977653
1.0,1.1,343.5982480604067,381.63397195061566,343.63356300181295,0.26608416196760004,374.85230346977653
1.0,1.1,342.40414047609784,394.1632543665612,342.4383811987541,0.26608416196760004,374.85230346977653
1.0,1.1,341.9200504579486,379.0781494127144,341.95429118060486,0.26608416196760004,374.85230346977653
1.0,1.1,341.6047423357152,377.0297684710349,341.63925161305895,0.26608416196760004,374.85230346977653
1.0,1.1,340.62496794997514,380.24128799508105,340.65907439528763,0.26608416196760004,374.85230346977653
1.0,1.1,340.355515678851,380.2284405396148,340.3901592335385,0.26608416196760004,374.85230346977653
1.0,1.1,339.1956890266358,392.82499150685885,339.23368951491705,0.26608416196760004,374.85230346977653
1.0,1.1,338.5525527942609,394.9165579846067,338.5914932239484,0.26608416196760004,374.85230346977653
1.0,1.1,338.3654546544509,384.48048639644185,338.4043950841384,0.26608416196760004,374.85230346977653
1.0,1.1,338.2844586262779,384.91404754580776,338.3233990559654,0.26608416196760004,374.85230346977653
1.0,1.1,338.2844586262779,384.91404754580776,338.3233990559654,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,737.830022758616,737.830022758616,737.830022758616,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,537.7688461811185,537.7688461811185,537.7688461811185,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,498.0524441460476,498.0524441460476,498.0524441460476,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,424.74811937386426,424.74811937386426,424.74811937386426,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,404.28513272606335,404.28513272606335,404.28513272606335,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,385.19296239728624,397.14577769613163,385.2006430613487,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,371.4205701414852,412.5043529591254,371.43209113757894,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,365.5702343119366,399.3000418469562,365.5879589213116,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,361.5154285795004,428.95623667298764,361.54053844278167,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,358.9308885196955,417.5330698989361,358.96013412516425,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,357.1082666102229,431.7845940798445,357.13898926647295,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,354.8161147931637,420.1922432456256,354.8463943341793,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,352.4151528805378,405.7003713241638,352.4475002926472,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,351.20169927691234,407.96761107323766,351.2362622651936,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,349.3078745542872,388.297203983483,349.3418467222559,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,347.93276414997524,386.8236497287048,347.96836107380335,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,346.5547578031204,374.85230346977653,346.5916840726517,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,345.07887486641255,410.49371551720685,345.1138809699282,0.26608416196760004,374.85230346977653
2.0,1.2100000000000002,343.5982480604067,381.63397195061566,343.6370944959536,0.26608416196760004,374.85230346977653
