k,tau,f(u),f(v),"q(u,v)",||x-y||,currentMin
0.0,1.0,451.4430353420357,504.74898422160754,451.4453570470002,0.0,490.0019560490048
0.0,1.0,412.26236828724427,439.51703173583223,412.26542270826235,0.0,490.0019560490048
0.0,1.0,396.81400457972507,427.3319448705049,396.81670421825766,0.0,439.51703173583223
0.0,1.0,378.76126026246425,397.3726602994948,378.7642977427373,0.0,427.3319448705049
0.0,1.0,371.6809932347171,397.77779547134514,371.68394596007323,0.0,397.3726602994948
0.0,1.0,368.14420454113224,384.6185255986661,368.14753639868405,0.0,397.3726602994948
0.0,1.0,363.81877286415386,384.38459079280074,363.8220642335384,0.0,384.6185255986661
0.0,1.0,363.01877092773634,378.5537335454054,363.02243790288543,0.0,384.38459079280074
0.0,1.0,359.71890703687245,379.38544964297705,359.72253482074717,0.0,378.5537335454054
0.0,1.0,359.7086443209108,373.34162521715143,359.71258021623856,0.0,378.5537335454054
0.0,1.0,356.964578710978,376.83070928260827,356.9684250085341,0.0,373.34162521715143
0.0,1.0,355.7887911936259,373.6799151910924,355.7927908934569,0.0,373.34162521715143
0.0,1.0,354.86144302769355,373.79848132157576,354.8655190549902,0.0,373.34162521715143
0.0,1.0,353.8802212025985,371.1706377079049,353.8844579898897,0.0,373.34162521715143
0.0,1.0,353.151804463844,370.6219351208904,353.1561501762463,0.0,371.1706377079049
0.0,1.0,352.3114900882405,368.4604194070157,352.3159822682111,0.0,370.6219351208904
0.0,1.0,351.7122451509581,369.69133273449404,351.7168427773345,0.0,368.4604194070157
0.0,1.0,350.98121327806246,367.4370726915299,350.98594310151924,0.0,368.4604194070157
0.0,1.0,350.4717968065597,367.85192335390843,350.47659158858846,0.0,367.4370726915299
0.0,1.0,349.82903103555395,365.8544485281873,349.8339637185143,0.0,367.4370726915299
0.0,1.0,349.3851317853024,366.880738183379,349.3901161966607,0.0,365.8544485281873
0.0,1.0,348.8154577779451,364.9252832570031,348.82057314727035,0.0,365.8544485281873
0.0,1.0,348.42098907623836,365.23055330335444,348.4261729697996,0.0,364.9252832570031
0.0,1.0,347.912972018916,363.4736256344552,347.91828891300156,0.0,364.9252832570031
0.0,1.0,347.556945981883,367.0886632831647,347.5623363181099,0.0,363.4736256344552
0.0,1.0,347.101588665347,365.4251300592109,347.1071164933651,0.0,363.4736256344552
0.0,1.0,346.776172417972,365.7311509589032,346.78177033571177,0.0,363.4736256344552
0.0,1.0,346.36625892527536,364.09996134923733,346.3719930506777,0.0,363.4736256344552
0.0,1.0,346.0657348746679,372.97172821549816,346.0714913982711,0.0,363.4736256344552
0.0,1.0,345.6952837098546,371.16146908354585,345.70118585210173,0.0,363.4736256344552
0.0,1.0,345.41540015085707,371.84275450053383,345.42132852638696,0.0,363.4736256344552
0.0,1.0,345.0794725280956,370.18808779868414,345.0855455036027,0.0,363.4736256344552
0.0,1.0,344.816990318561,370.83795931355417,344.8231048673548,0.0,363.4736256344552
