k,tau,f(u),f(v),"q(u,v)",||x-y||
0.0,1.0,322.45089329622465,441.05259553305893,322.57379119564746,0.0
0.0,1.0,322.10625573246944,437.4956882700287,322.2340943191156,0.0
0.0,1.0,322.00282883003524,448.3795964126015,322.13434589913845,0.0
0.0,1.0,321.9649466790129,445.80670928617417,322.0968270526538,0.0
0.0,1.0,321.94845257416307,445.2463877660881,322.07934437461165,0.0
0.0,1.0,321.94195808857216,444.79110895257406,322.0724362545497,0.0
0.0,1.0,321.93932968721117,444.43927288741963,322.0695374842631,0.0
0.0,1.0,321.93825592352687,444.1892400177436,322.0682856612801,0.0
0.0,1.0,321.93782306058756,440.1716767042401,322.06772439104446,0.0
0.0,1.0,321.938133245726,435.1493163480317,322.06625394613553,0.0
0.0,1.0,321.93825429858873,434.5289257103278,322.0661135010211,0.0
0.0,1.0,321.9382793947144,434.32662502061896,322.0660590803988,0.0
0.0,1.0,321.93829345018935,434.2254891640184,322.0660357749034,0.0
0.0,1.0,321.9383042297259,434.16686212861646,322.0660255670142,0.0
0.0,1.0,321.93831230905266,434.13089453092766,322.0660210445267,0.0
1.0,1.1,321.9392442062316,433.2575905096388,322.07874117972773,0.5053884357086816
1.0,1.1,321.93930882389316,433.0253220293563,322.0787384590433,0.5053884357086816
2.0,1.2100000000000002,321.94037832426216,432.09125618634744,322.0926235550669,0.5034962041025596
2.0,1.2100000000000002,321.9404552843804,431.8374981236792,322.09262102235164,0.5034962041025596
3.0,1.3310000000000004,321.94166526926074,430.8979475606818,322.1077724551081,0.5015113323559233
3.0,1.3310000000000004,321.9417513805181,430.6415884333435,322.1077697909068,0.5015113323559233
4.0,1.4641000000000006,321.94311753684667,429.7029556617516,322.12429824942177,0.49946389048090184
4.0,1.4641000000000006,321.9432135284794,429.4461443027768,322.12429529541083,0.49946389048090184
5.0,1.6105100000000008,321.9447549850653,428.5090504446101,322.1423207346228,0.4973555736803398
5.0,1.6105100000000008,321.9448622153516,428.2519802506408,322.14231738278966,0.4973555736803398
6.0,1.771561000000001,321.9466007746677,427.3164510948659,322.16196957709644,0.4951850640124599
