k,tau,f(u),f(v),"q(u,v)",||x-y||,currentMin
0.0,1.0,253.75789158335508,254.0816628271055,253.75838488014224,0.0,255.10414210305095
0.0,1.0,251.93738901822664,251.9819335267338,251.93807660851144,0.0,254.0816628271055
0.0,1.0,251.78956291632412,251.85363620595388,251.7911098500144,0.0,251.9819335267338
0.0,1.0,250.32939254777096,250.83266254959247,250.33099082774464,0.0,251.85363620595388
0.0,1.0,249.69911144631118,250.26921181803849,249.70131347633577,0.0,250.83266254959247
0.0,1.0,249.22443046985163,250.60092525744133,249.2274666511246,0.0,250.26921181803849
0.0,1.0,248.73000805775987,249.4946748414591,248.73385882774295,0.0,250.26921181803849
0.0,1.0,248.4215919410767,250.1989574942802,248.42619445377193,0.0,249.4946748414591
0.0,1.0,248.02191388555843,249.01841451273202,248.02765524087886,0.0,249.4946748414591
0.0,1.0,247.81768535744496,249.96336197958527,247.82411249935151,0.0,249.01841451273202
0.0,1.0,247.48595072548864,248.8699410695298,247.49333006892766,0.0,249.01841451273202
0.0,1.0,247.34720411139224,249.91835253566288,247.35555951303485,0.0,248.8699410695298
0.0,1.0,247.0667833156764,248.5251901784589,247.07588642651694,0.0,248.8699410695298
0.0,1.0,246.9705549870505,249.83321160197733,246.98073754099315,0.0,248.5251901784589
0.0,1.0,246.72964320095943,248.2721236148077,246.7406062464929,0.0,248.5251901784589
0.0,1.0,246.66080811374147,248.99542413390898,246.67289409794935,0.0,248.2721236148077
0.0,1.0,246.45152608160916,248.60943197824153,246.46444017679354,0.0,248.2721236148077
0.0,1.0,246.40116647160414,248.82426691901725,246.41507712523133,0.0,248.2721236148077
0.0,1.0,246.21687724912874,248.46619221955464,246.23165087179498,0.0,248.2721236148077
0.0,1.0,246.1786836073623,248.68673361314927,246.19454053281632,0.0,248.2721236148077
0.0,1.0,246.01514238420054,248.35297232678053,246.0318901265355,0.0,248.2721236148077
0.0,1.0,245.98488045265998,248.46860036455732,246.00274516886384,0.0,248.2721236148077
