k,tau,f(u),f(v),"q(u,v)",||x-y||
0.0,1.0,240.3959777219541,243.92888374394138,240.48172728781987,0.0
0.0,1.0,239.47540184246876,249.46042361461133,239.58307141097106,0.0
0.0,1.0,239.25894067984754,243.99615116188468,239.3685121979332,0.0
0.0,1.0,239.20258842103055,243.71812757659526,239.3049725695337,0.0
0.0,1.0,239.18463691746385,242.91914787929662,239.28143290139388,0.0
0.0,1.0,239.17823460245467,242.20374720884067,239.268788826198,0.0
0.0,1.0,239.17485053241595,246.7667177404494,239.2614031681511,0.0
0.0,1.0,239.17309341493453,246.8785329837671,239.25681332756704,0.0
0.0,1.0,239.17234335504202,246.49293672115957,239.24658559888042,0.0
0.0,1.0,239.17129331807377,241.63043938071283,239.23907578952245,0.0
0.0,1.0,239.17185197225461,241.73022173267816,239.2306527776882,0.0
0.0,1.0,239.1711693974632,241.82182755349143,239.2294255815058,0.0
0.0,1.0,239.17077357310322,241.89884503497387,239.22878804556078,0.0
0.0,1.0,239.1705291950649,241.96231685049392,239.22841974529953,0.0
0.0,1.0,239.17036805341166,242.01454576962965,239.22819232030736,0.0
0.0,1.0,239.17025613012427,242.0575987249922,239.2280462445194,0.0
0.0,1.0,239.17017538269195,242.09314789061315,239.22795032634326,0.0
0.0,1.0,239.17011549206507,242.12253034306886,239.22788658647892,0.0
0.0,1.0,239.17007013982084,242.14682408450082,239.22784396051293,0.0
0.0,1.0,239.17003524079962,242.16690773487167,239.22781535944605,0.0
0.0,1.0,239.1700080416308,242.18350370713438,239.227796135428,0.0
0.0,1.0,239.1699866258352,242.19720945645756,239.22778320245797,0.0
0.0,1.0,239.1699696243295,242.20852073935026,239.22777449771303,0.0
1.0,1.1,239.17169384713668,242.20151849477497,239.2334635881337,0.340014333178839
1.0,1.1,239.17175035308378,242.201664776877,239.23345869497686,0.340014333178839
2.0,1.2100000000000002,239.17367656971942,242.18744053702855,239.23952789372603,0.3349581843457055
2.0,1.2100000000000002,239.17376115336893,242.182452421606,239.23952349829594,0.3349581843457055
3.0,1.3310000000000004,239.1758827032591,242.1644568538316,239.24598727497508,0.3296939350191798
3.0,1.3310000000000004,239.17598667177143,242.1564921271471,239.24598220364786,0.3296939350191798
4.0,1.4641000000000006,239.17831036968698,242.1362973509832,239.2528574946079,0.3243105890831519
4.0,1.4641000000000006,239.17843137973986,242.1264621277449,239.2528511605593,0.3243105890831519
5.0,1.6105100000000008,239.1809671607014,242.1049727312269,239.26015621202333,0.3188407491052334
5.0,1.6105100000000008,239.1811045360587,242.0939324209721,239.26014831317676,0.3188407491052334
6.0,1.771561000000001,239.18386362056592,242.0717247610769,239.26790233189143,0.3133048568653991
6.0,1.771561000000001,239.1840172675686,242.05990999468574,239.26789268890914,0.3133048568653991
7.0,1.9487171000000014,239.18701187538773,242.0373693182985,239.2761156825421,0.30771899102593886
7.0,1.9487171000000014,239.18718196143462,242.02506995795915,239.27610415412684,0.30771899102593886
7.0,1.9487171000000014,239.18727946189705,242.01758613570485,239.27609968923758,0.30771899102593886
8.0,2.1435888100000016,239.19048635228134,241.99765415194707,239.28481100379437,0.30192323767108525
8.0,2.1435888100000016,239.19065121082684,241.98668768830078,239.28480078116118,0.30192323767108525
8.0,2.1435888100000016,239.19074726845048,241.9799293507153,239.28479667491922,0.30192323767108525
9.0,2.357947691000002,239.19420629024904,241.9608237737384,239.29401821313354,0.2962253946643077
9.0,2.357947691000002,239.19438039297955,241.95020608925427,239.29400728429403,0.2962253946643077
9.0,2.357947691000002,239.19448387191903,241.94360138126558,239.29400275942402,0.2962253946643077
10.0,2.5937424601000023,239.19821586158338,241.925007491899,239.3037565662517,0.29053648023595424
10.0,2.5937424601000023,239.19840257696626,241.91455741270016,239.30374438140527,0.29053648023595424
10.0,2.5937424601000023,239.19851591308282,241.90799434552468,239.30373916779263,0.29053648023595424
11.0,2.853116706110003,239.20254003726936,241.88985601604944,239.31404743395925,0.2848442372430974
11.0,2.853116706110003,239.2027406001278,241.87954822833456,239.31403372246825,0.2848442372430974
11.0,2.853116706110003,239.20286487930153,241.8730108096047,239.31402764794262,0.2848442372430974
12.0,3.1384283767210035,239.207201690528,241.85532449106321,239.3249126477485,0.27914824827739737
12.0,3.1384283767210035,239.20741686037675,241.84516671836673,239.3248971920702,0.27914824827739737
12.0,3.1384283767210035,239.2075528499707,241.83866029145722,239.32489009399552,0.27914824827739737
13.0,3.4522712143931042,239.21222516557015,241.82143059419127,239.3363739855785,0.27344930795854416
13.0,3.4522712143931042,239.21245561743837,241.81143573943984,239.33635656245505,0.27344930795854416
13.0,3.4522712143931042,239.2126040207815,241.80496938170148,239.33634826147423,0.27344930795854416
14.0,3.797498335832415,239.2176373127126,241.7881988665144,239.34845280846463,0.26774726413634403
14.0,3.797498335832415,239.2178837452456,241.7783783052368,239.34843316916334,0.26774726413634403
14.0,3.797498335832415,239.2180452730555,241.77196049272266,239.34842345845365,0.26774726413634403
15.0,4.177248169415656,239.22346788766612,241.75564774197352,239.36116969218514,0.26204064988104603
15.0,4.177248169415656,239.2237310561164,241.74600990361074,239.3611475534052,0.26204064988104603
15.0,4.177248169415656,239.22390644722142,241.73964758081857,239.36113619234632,0.26204064988104603
15.0,4.177248169415656,239.22402908092488,241.7353002562599,239.3611300829868,0.26204064988104603
16.0,4.594972986357222,239.22983827443716,241.72075757330586,239.3745338189011,0.2562065176929244
16.0,4.594972986357222,239.23009608406312,241.71220068837175,239.37451331167114,0.2562065176929244
16.0,4.594972986357222,239.23026942728183,241.7065202591769,239.37450241813247,0.2562065176929244
16.0,4.594972986357222,239.23039234095782,241.70261017104298,239.37449632998238,0.2562065176929244
17.0,5.054470284992944,239.23664551213122,241.68879159761792,239.38857794234502,0.2504445112009001
17.0,5.054470284992944,239.23691409697017,241.68063362671091,239.38855612937002,0.2504445112009001
17.0,5.054470284992944,239.23709681154236,241.67517401214047,239.38854414887507,0.2504445112009001
17.0,5.054470284992944,239.23722828755896,241.67138171569138,239.38853721347417,0.2504445112009001
18.0,5.559917313492239,239.24396751946531,241.65805095223897,239.40331353459217,0.24468618411887705
18.0,5.559917313492239,239.24425131792148,241.65013471062383,239.4032894710952,0.24468618411887705
18.0,5.559917313492239,239.24444675237132,241.64478700769226,239.40327579686877,0.24468618411887705
18.0,5.559917313492239,239.2445894809558,241.64103429691824,239.40326760279203,0.24468618411887705
19.0,6.115909044841463,239.2518557327976,241.6281211924585,239.418752447021,0.23891276641707912
19.0,6.115909044841463,239.25215662574672,241.62040381356272,239.41872561804226,0.23891276641707912
19.0,6.115909044841463,239.2523662408642,241.61514016752815,239.41870985161222,0.23891276641707912
19.0,6.115909044841463,239.2525215316976,241.6114071141023,239.418700081997,0.23891276641707912
20.0,6.72749994932561,239.26035699449722,241.5988834421488,239.4349040559651,0.23311594058719354
20.0,6.72749994932561,239.2606761910098,241.591350946936,239.43487404225792,0.23311594058719354
20.0,6.72749994932561,239.2609009175298,241.58616466305793,239.43485582206154,0.23311594058719354
20.0,6.72749994932561,239.2610696714257,241.58244720473087,239.4348441645495,0.23311594058719354
20.0,6.72749994932561,239.2611991752462,241.57973519089032,239.4348363981223,0.23311594058719354
21.0,7.400249944258172,239.2696183771903,241.56829153204762,239.45176033549703,0.2272006459864919
21.0,7.400249944258172,239.26993708293395,241.56144522295926,239.4517311820728,0.2272006459864919
21.0,7.400249944258172,239.27016223385212,241.5567081607819,239.45171293210433,0.2272006459864919
