k,tau,f(u),f(v),"q(u,v)",||x-y||,currentMin
0.0,1.0,101.35381707108701,127.01973266546007,101.36280813566427,0.0,130.07113106708215
0.0,1.0,85.8239593934046,101.72881358685677,85.84357140899276,0.0,127.01973266546007
0.0,1.0,81.70169381068462,93.66564899473678,81.72052619893404,0.0,101.72881358685677
0.0,1.0,74.90580129804079,86.23294819914463,74.93119934033645,0.0,93.66564899473678
0.0,1.0,72.49948889642587,86.9310236182842,72.52422186329899,0.0,86.23294819914463
0.0,1.0,71.39981859918728,84.99371357250556,71.4279399653755,0.0,86.23294819914463
0.0,1.0,70.76422343096672,84.60957489541698,70.7963328805847,0.0,84.99371357250556
0.0,1.0,69.99783961796183,83.52746083172576,70.03308919225465,0.0,84.60957489541698
0.0,1.0,69.8384691358888,109.22165062729951,69.87557543534183,0.0,83.52746083172576
0.0,1.0,69.1511812143003,106.9999299067535,69.19317819685146,0.0,83.52746083172576
0.0,1.0,68.81420681589483,108.76444982040877,68.85527727632474,0.0,83.52746083172576
0.0,1.0,68.5431845953214,108.27787240580946,68.5887642484732,0.0,83.52746083172576
0.0,1.0,68.25030354713465,110.2226532997023,68.29484265047884,0.0,83.52746083172576
0.0,1.0,68.08218084812472,109.691491972416,68.1314559167097,0.0,83.52746083172576
0.0,1.0,67.81567511170388,111.76460640658291,67.863752810723,0.0,83.52746083172576
0.0,1.0,67.72493925698092,111.09484854824788,67.77792398704968,0.0,83.52746083172576
0.0,1.0,67.47404777995351,113.27335445401144,67.52565229108741,0.0,83.52746083172576
0.0,1.0,67.44521620092038,112.42324956446808,67.50186487123864,0.0,83.52746083172576
0.0,1.0,67.2022763822678,114.69724635123237,67.25734565428397,0.0,83.52746083172576
0.0,1.0,67.07952036144633,114.16907239134991,67.13711584143101,0.0,83.52746083172576
0.0,1.0,66.98409452431844,116.01462679369965,67.04253578071261,0.0,83.52746083172576
0.0,1.0,66.87222191307788,115.38271449273407,66.93324238782249,0.0,83.52746083172576
0.0,1.0,66.80758223418576,117.21874040206825,66.86928388004011,0.0,83.52746083172576
0.0,1.0,66.70304617485553,116.48212317516933,66.76737697752515,0.0,83.52746083172576
0.0,1.0,66.66382313397455,118.31057593819133,66.72866234427522,0.0,83.52746083172576
0.0,1.0,66.56383192121609,117.4697021445507,66.63134923323743,0.0,83.52746083172576
0.0,1.0,66.54606593916407,119.2951978963078,66.61391376470546,0.0,83.52746083172576
0.0,1.0,66.4483715668365,118.35115264728137,66.51894698218904,0.0,83.52746083172576
0.0,1.0,66.39920278138285,119.25825568316998,66.46983786483754,0.0,83.52746083172576
0.0,1.0,66.3519040336611,119.13381694272766,66.42540777048116,0.0,83.52746083172576
0.0,1.0,66.30675879210992,120.0460312108525,66.38023031837596,0.0,83.52746083172576
0.0,1.0,66.27075239695881,119.82572473636787,66.34705558686274,0.0,83.52746083172576
0.0,1.0,66.22848826500697,120.7465174154571,66.30466676757926,0.0,83.52746083172576
0.0,1.0,66.20205952130681,120.43503045080416,66.28103583108854,0.0,83.52746083172576
0.0,1.0,66.16174697014196,121.3679221385824,66.24050580986827,0.0,83.52746083172576
0.0,1.0,66.14359251824013,120.96967911947445,66.22511927174627,0.0,83.52746083172576
0.0,1.0,66.10446137270756,121.91816853239331,66.18567772262593,0.0,83.52746083172576
0.0,1.0,66.09359668936673,121.43721177547513,66.1775556105493,0.0,83.52746083172576
0.0,1.0,66.05499558059086,122.40473305367101,66.13855106481108,0.0,83.52746083172576
0.0,1.0,66.05068563345546,121.8446587031556,66.13696330284125,0.0,83.52746083172576
0.0,1.0,66.01205101339173,122.83455984395366,66.09783208487248,0.0,83.52746083172576
0.0,1.0,65.99131521696074,122.51568143000267,66.07844082559308,0.0,83.52746083172576
0.0,1.0,65.97459033821394,123.21402427801141,66.06248846196326,0.0,83.52746083172576
0.0,1.0,65.95481857893782,122.85829816574264,66.04405628742805,0.0,83.52746083172576
0.0,1.0,65.94177954628961,123.54892824018702,66.03169124022362,0.0,83.52746083172576
0.0,1.0,65.9226780872126,123.15742451303225,66.01392707440496,0.0,83.52746083172576
0.0,1.0,65.9129436739575,123.84451560640844,66.00477044814009,0.0,83.52746083172576
0.0,1.0,65.89425838205915,123.41807704943665,65.9874228484045,0.0,83.52746083172576
0.0,1.0,65.88753283532765,124.10550016385352,65.98118106098457,0.0,83.52746083172576
0.0,1.0,65.86903941559171,123.64475274018395,65.96402843529692,0.0,83.52746083172576
0.0,1.0,65.86509607838792,124.33610067693525,65.9604768105745,0.0,83.52746083172576
0.0,1.0,65.84659240646533,123.84146532575522,65.94331973997761,0.0,83.52746083172576
0.0,1.0,65.84526119639276,124.54007949167175,65.94228996820804,0.0,83.52746083172576
0.0,1.0,65.82656124036194,124.01178434524235,65.92494512339482,0.0,83.52746083172576
0.0,1.0,65.81770993082034,124.36537285340188,65.91619675333413,0.0,83.52746083172576
0.0,1.0,65.80864803086234,124.15887465472889,65.90861095183055,0.0,83.52746083172576
0.0,1.0,65.8001860120707,124.5190845028173,65.90020808905548,0.0,83.52746083172576
0.0,1.0,65.79260186716459,124.28553503172549,65.89407034153679,0.0,83.52746083172576
0.0,1.0,65.78443188315805,124.6537329219774,65.88591625409236,0.0,83.52746083172576
0.0,1.0,65.77821000935162,124.39423497317458,65.88111435686339,0.0,83.52746083172576
0.0,1.0,65.77024373757592,124.77171478065122,65.87312113625984,0.0,83.52746083172576
0.0,1.0,65.76529096850703,124.48714915815813,65.86956509723845,0.0,83.52746083172576
0.0,1.0,65.75744689812063,124.87514338899592,65.8616515384304,0.0,83.52746083172576
0.0,1.0,65.75368904251204,124.56618930043425,65.85927024239066,0.0,83.52746083172576
0.0,1.0,65.74589073929045,124.96587973378848,65.85136011086193,0.0,83.52746083172576
0.0,1.0,65.74326997956476,124.63303329092889,65.8500987267945,0.0,83.52746083172576
0.0,1.0,65.73544464609927,125.04556079985774,65.84211932115925,0.0,83.52746083172576
0.0,1.0,65.73391751833418,124.68915164836244,65.84193729148528,0.0,83.52746083172576
0.0,1.0,65.7259947790736,125.11562522417084,65.83381823095307,0.0,83.52746083172576
0.0,1.0,65.72128343635808,124.9254675408053,65.82977192112341,0.0,83.52746083172576
0.0,1.0,65.71744146867377,125.17733639644689,65.82635990205718,0.0,83.52746083172576
0.0,1.0,65.712864502379,124.97547421852641,65.82244360561896,0.0,83.52746083172576
0.0,1.0,65.70969710315308,125.23180316041358,65.81965929579009,0.0,83.52746083172576
0.0,1.0,65.70521597600305,125.01819064085348,65.8158358213962,0.0,83.52746083172576
0.0,1.0,65.70268440500007,125.27999829159876,65.81364156039372,0.0,83.52746083172576
0.0,1.0,65.69826265316047,125.05453094068801,65.80987576839433,0.0,83.52746083172576
0.0,1.0,65.69633501491418,125.322774936489,65.80824062536927,0.0,83.52746083172576
0.0,1.0,65.69193774954812,125.08529396977305,65.80449893347512,0.0,83.52746083172576
0.0,1.0,65.69058832050209,125.36088119808373,65.80339803984899,0.0,83.52746083172576
0.0,1.0,65.68618179096455,125.11117727676964,65.7996479902538,0.0,83.52746083172576
0.0,1.0,65.68539048086845,125.39497304730666,65.79906200615049,0.0,83.52746083172576
0.0,1.0,65.68094168530877,125.13278946754701,65.79527187988076,0.0,83.52746083172576
0.0,1.0,65.68069360902882,125.42562573052292,65.79518657044491,0.0,83.52746083172576
0.0,1.0,65.67616994107254,125.150661114268,65.7913250376149,0.0,83.52746083172576
0.0,1.0,65.67418355351134,125.30183929358563,65.78939821625049,0.0,83.52746083172576
0.0,1.0,65.67182400475087,125.1652543680823,65.78776673764104,0.0,83.52746083172576
0.0,1.0,65.66991719639188,125.32173749915475,65.78589870533854,0.0,83.52746083172576
0.0,1.0,65.66786569546298,125.17697141769466,65.78456053446266,0.0,83.52746083172576
0.0,1.0,65.6660216707194,125.33914481363581,65.78273467505133,0.0,83.52746083172576
0.0,1.0,65.66426071961382,125.18616192340222,65.78167378374425,0.0,83.52746083172576
0.0,1.0,65.66246341900535,125.35440680740116,65.77987417360809,0.0,83.52746083172576
0.0,1.0,65.6609782519524,125.19312954382374,65.77907722900702,0.0,83.52746083172576
0.0,1.0,65.65921218562951,125.36782547903101,65.7772884716637,0.0,83.52746083172576
0.0,1.0,65.65799057211956,125.19813766076018,65.77674464331795,0.0,83.52746083172576
0.0,1.0,65.6562406661127,125.37966476072631,65.77495171653904,0.0,83.52746083172576
0.0,1.0,65.65527274792797,125.20141439658313,65.77465251726171,0.0,83.52746083172576
