k,tau,f(u),f(v),"q(u,v)",||x-y||
0,1,[[322.4508933]],[[441.05259553]],[[322.5737912]],0.0
0,1,[[322.10625573]],[[437.49568827]],[[322.23409432]],0.0
0,1,[[322.00282883]],[[448.37959641]],[[322.1343459]],0.0
0,1,[[321.96494668]],[[445.80670929]],[[322.09682705]],0.0
0,1,[[321.94845257]],[[445.24638777]],[[322.07934437]],0.0
0,1,[[321.94195809]],[[444.79110895]],[[322.07243625]],0.0
0,1,[[321.93932969]],[[444.43927289]],[[322.06953748]],0.0
0,1,[[321.93825592]],[[444.18924002]],[[322.06828566]],0.0
0,1,[[321.93782306]],[[440.1716767]],[[322.06772439]],0.0
0,1,[[321.93813325]],[[435.14931635]],[[322.06625395]],0.0
0,1,[[321.9382543]],[[434.52892571]],[[322.0661135]],0.0
0,1,[[321.93827939]],[[434.32662502]],[[322.06605908]],0.0
0,1,[[321.93829345]],[[434.22548916]],[[322.06603577]],0.0
0,1,[[321.93830423]],[[434.16686213]],[[322.06602557]],0.0
0,1,[[321.93831231]],[[434.13089453]],[[322.06602104]],0.0
1,1.1,[[321.93924421]],[[433.25759051]],[[322.07874118]],0.5053884357086816
1,1.1,[[321.93930882]],[[433.02532203]],[[322.07873846]],0.5053884357086816
2,1.2100000000000002,[[321.94037832]],[[432.09125619]],[[322.09262356]],0.5034962041025596
2,1.2100000000000002,[[321.94045528]],[[431.83749812]],[[322.09262102]],0.5034962041025596
3,1.3310000000000004,[[321.94166527]],[[430.89794756]],[[322.10777246]],0.5015113323559233
3,1.3310000000000004,[[321.94175138]],[[430.64158843]],[[322.10776979]],0.5015113323559233
4,1.4641000000000006,[[321.94311754]],[[429.70295566]],[[322.12429825]],0.49946389048090184
4,1.4641000000000006,[[321.94321353]],[[429.4461443]],[[322.1242953]],0.49946389048090184
5,1.6105100000000008,[[321.94475499]],[[428.50905044]],[[322.14232073]],0.4973555736803398
5,1.6105100000000008,[[321.94486222]],[[428.25198025]],[[322.14231738]],0.4973555736803398
6,1.771561000000001,[[321.94660077]],[[427.31645109]],[[322.16196958]],0.4951850640124599
