k,tau,f(u),f(v),"q(u,v)",||x-y||,currentMin
0.0,1.0,38.84096632279555,40.484905961819805,39.22004427807993,0.0,69.70674996113823
0.0,1.0,24.446728221084115,34.801240370406944,24.797985331442558,0.0,40.484905961819805
0.0,1.0,23.109435730585453,35.41902427579197,23.443568493977562,0.0,34.801240370406944
0.0,1.0,22.723257503900292,34.50250146855593,23.06356655578697,0.0,34.801240370406944
0.0,1.0,22.672343206008435,35.000530527801104,23.011517866587187,0.0,34.50250146855593
0.0,1.0,22.146595045126347,34.20175772310152,22.491774073376654,0.0,34.50250146855593
0.0,1.0,21.996156525154696,34.266494384769494,22.34323462234076,0.0,34.20175772310152
0.0,1.0,21.93722609306687,33.658160633545585,22.291406985069756,0.0,34.20175772310152
0.0,1.0,21.70777650770774,33.865434544534146,22.060199143304285,0.0,33.658160633545585
0.0,1.0,21.663790603817603,33.37267373190639,22.024772443698478,0.0,33.658160633545585
0.0,1.0,21.41882083824224,33.55936455867925,21.778756738873735,0.0,33.37267373190639
0.0,1.0,21.34669203515528,33.372451680039646,21.709431445643887,0.0,33.37267373190639
0.0,1.0,21.312157376703837,33.49080545489799,21.677526060625475,0.0,33.372451680039646
0.0,1.0,21.193622594175018,33.35444474387316,21.560026825784494,0.0,33.372451680039646
0.0,1.0,21.145612062169377,33.4323355046412,21.519874751725634,0.0,33.35444474387316
0.0,1.0,21.019716714485632,34.75631372663716,21.385415819909618,0.0,33.35444474387316
0.0,1.0,20.976346251803818,34.79836736177225,21.33948639037084,0.0,33.35444474387316
0.0,1.0,20.863043557356974,34.89980944015362,21.216695222757615,0.0,33.35444474387316
0.0,1.0,20.814169850925964,34.939293901722856,21.170901710185777,0.0,33.35444474387316
0.0,1.0,20.796189702767776,35.08662310989462,21.144423143507442,0.0,33.35444474387316
0.0,1.0,20.7303021261841,35.073933629257326,21.08321905921539,0.0,33.35444474387316
0.0,1.0,20.699464764251807,35.32141138278437,21.04552552014379,0.0,33.35444474387316
0.0,1.0,20.629073285402242,35.29792822655544,20.980997525733628,0.0,33.35444474387316
0.0,1.0,20.625921496163684,35.570983441031764,20.972225558803004,0.0,33.35444474387316
0.0,1.0,20.548184284546515,35.53293181458562,20.901409517916278,0.0,33.35444474387316
0.0,1.0,20.530600332165136,35.673557128972526,20.88100094982283,0.0,33.35444474387316
0.0,1.0,20.514159524440544,35.69468311753501,20.871498604164625,0.0,33.35444474387316
0.0,1.0,20.48365894973538,35.79734280733096,20.836988226314787,0.0,33.35444474387316
0.0,1.0,20.46395839571681,35.92194572567864,20.82514504308303,0.0,33.35444474387316
0.0,1.0,20.431109727052302,36.03363579521664,20.787883611602247,0.0,33.35444474387316
0.0,1.0,20.413534668672412,36.085173463987374,20.77458930309855,0.0,33.35444474387316
0.0,1.0,20.40853863081061,36.23266891149697,20.767047452446796,0.0,33.35444474387316
0.0,1.0,20.385893360691703,36.22813534552117,20.74839190314125,0.0,33.35444474387316
0.0,1.0,20.37517647732207,36.45259236027195,20.73771087442514,0.0,33.35444474387316
0.0,1.0,20.351015446123498,36.43778109344966,20.717926644740896,0.0,33.35444474387316
0.0,1.0,20.349222573503013,36.65884261687664,20.71583302180235,0.0,33.35444474387316
0.0,1.0,20.322653337018586,36.63276154493889,20.694028669227823,0.0,33.35444474387316
0.0,1.0,20.31700731402171,36.74010907136224,20.6879012616451,0.0,33.35444474387316
0.0,1.0,20.309147515850924,36.757547968204406,20.68510501070164,0.0,33.35444474387316
0.0,1.0,20.300351612736918,36.832738024361745,20.674481272364044,0.0,33.35444474387316
0.0,1.0,20.290647377091723,36.922542070704466,20.670975870714337,0.0,33.35444474387316
0.0,1.0,20.28130016152251,37.000518547395316,20.659460506281043,0.0,33.35444474387316
0.0,1.0,20.27409255867225,37.03594367467706,20.65536030196299,0.0,33.35444474387316
0.0,1.0,20.272665079830503,37.13530837575645,20.653017024107896,0.0,33.35444474387316
0.0,1.0,20.264310292480104,37.13223617809146,20.647230620831067,0.0,33.35444474387316
0.0,1.0,20.260021605179176,37.27887527233415,20.643839266698087,0.0,33.35444474387316
0.0,1.0,20.251151503467426,37.26896454719237,20.63768289865379,0.0,33.35444474387316
0.0,1.0,20.249903684486064,37.40911567942146,20.63687559988788,0.0,33.35444474387316
